name,url,image,audience score,price,pace,arch support,weight lab weight brand,lightweight,drop lab drop brand,strike pattern,midsole softness,difference in midsole softness in cold,toebox durability,heel padding durability,outsole durability,breathability,heel stack,forefoot stack,drop,flexibility / stiffness (new method),flexibility / stiffness (old method),brand,audience_score,price_usd,drop_mm,weight,weight_grams,trail terrain,heel stack lab heel stack brand,midsole width - forefoot,midsole width - heel,outsole thickness,weight (g),drop (mm),flexibility of the shoe (n),flexibility of the shoe (freezer 20 min) (n),flexibility of the shoe (% of change),"longitudinal flexibility (1-5 scale, 5 being the stiffest)","torsional flexibility (1-5 scale, 5 being the stiffest)",flexibility of the shoe (freezer 1 hour) (n),"longitudinal flexibility (on a 0-5 scale, 0 being the stiffest)","torsional flexibility (on a 0-5 scale, 0 being the stiffest)",agility and responsiveness,outsole hardness,fuelcell supercomp pacer v2
Hoka Arahi 6,https://runrepeat.com/hoka-arahi-6,https://cdn.runrepeat.com/storage/gallery/product_primary/38015/hoka-one-one-arahi-6-01-16295093-720.jpg,87 Great!,$140,Daily running,Stability,8.9 oz / 252g 9.3 oz / 264g,,4.1 mm 5.0 mm,Mid/forefoot,-,-,-,-,-,-,32.6 mm,28.5 mm,4.1 mm,,37.9N,HOKA,87,140.0,4.1,8.9 oz (252g),252.0,,,115.3 mm,97.5 mm,,,,,,,,,,,,,,
Adidas Ultraboost 5,https://runrepeat.com/adidas-ultraboost-5,https://cdn.runrepeat.com/storage/gallery/product_primary/40462/adidas-ultraboost-5-21818110-720.jpg,90 Great!,$180,Daily running,Neutral,10.3 oz / 292g 11.4 oz / 323g,,10.6 mm 10.0 mm,Heel,17.0 HA,Small,Decent,Good,Good,Breathable,35.2 mm,24.6 mm,10.6 mm,17.3N,18.7N,Adidas,90,180.0,10.6,10.3 oz (292g),292.0,,,,,,,,,,,,,,,,,,
Nike Vomero 17,https://runrepeat.com/nike-vomero-17,https://cdn.runrepeat.com/storage/gallery/product_primary/39687/nike-vomero-17-21212199-720.jpg,86 Good!,$160,Daily running,Neutral,9.9 oz / 282g 10.1 oz / 286g,,7.7 mm 10.0 mm,Mid/forefoot,11.9 HA,Small,Decent,Good,Good,Moderate,33.9 mm,26.2 mm,7.7 mm,10.6N,18.7N,Nike,86,160.0,7.7,9.9 oz (282g),282.0,,,,,,,,,,,,,,,,,,
Hoka Challenger 7,https://runrepeat.com/hoka-challenger-7,https://cdn.runrepeat.com/storage/gallery/product_primary/39459/hoka-challenger-7-21208094-720.jpg,85 Good!,$145,,Neutral,8.8 oz / 250g 8.8 oz / 250g,,8.8 mm 5.0 mm,HeelMid/forefoot,18.8 HA,Normal,Good,Decent,-,Warm,32.9 mm,24.1 mm,8.8 mm,13.9N,19.4N,HOKA,85,145.0,8.8,,,LightModerate,32.9 mm 31.0 mm,,,,,,,,,,,,,,,,
New Balance MT10,https://runrepeat.com/new-balance-mt-10,https://cdn.runrepeat.com/storage/gallery/product_primary/40751/new-balance-mt-10-22723087-720.jpg,85 Good!,$110,,Neutral,7.1 oz / 200g 7.2 oz / 204g,✓,5.0 mm 4.0 mm,Mid/forefoot,34.4 HA,Small,Very good,Decent,Good,Moderate,15.6 mm,10.6 mm,5.0 mm,3.2N,,New Balance,85,110.0,5.0,,,Light,15.6 mm 14.0 mm,,,,,,,,,,,,,,,,
ASICS Metaspeed Edge+,https://runrepeat.com/asics-metaspeed-edge-plus,https://cdn.runrepeat.com/storage/gallery/product_primary/38633/asics-metaspeed-edge-21232019-720.jpg,92 Superb!,$250,Competition,Neutral,7.3 oz / 208g 7.4 oz / 210g,✓,8.1 mm 8.0 mm,HeelMid/forefoot,30.3 HA,Small,,-,,5,33.3 mm,25.2 mm,8.1 mm,,63.0N,ASICS,92,250.0,8.1,7.3 oz (208g),208.0,,,110.9 mm,,,,,,,,,,,,,,,
Brooks Revel 7,https://runrepeat.com/brooks-revel-7,https://cdn.runrepeat.com/storage/gallery/product_primary/40404/brooks-revel-7-21780948-720.jpg,83 Good!,$100,Daily running,Neutral,9.1 oz / 258g 9.1 oz / 258g,✗,9.8 mm 10.0 mm,HeelMid/forefoot,19.5 HA,Normal,Good,Decent,Good,Breathable,32.0 mm,22.2 mm,9.8 mm,15.8N,20.1N,Brooks,83,100.0,9.8,,,,,,,,,,,,,,,,,,,,
ASICS Gel Trabuco 13,https://runrepeat.com/asics-gel-trabuco-13,https://cdn.runrepeat.com/storage/gallery/product_primary/40662/asics-gel-trabuco-13-22607511-720.jpg,88 Great!,$140,,Neutral,10.2 oz / 288g 10 oz / 283g,,7.0 mm 8.0 mm,HeelMid/forefoot,22.3 HA,Normal,Good,Good,Good,Moderate,33.8 mm,26.8 mm,7.0 mm,19.3N,32.2N,ASICS,88,140.0,7.0,,,Light,33.8 mm 34.0 mm,,,,,,,,,,,,,,,,
ASICS Magic Speed 3,https://runrepeat.com/asics-magic-speed-3,https://cdn.runrepeat.com/storage/gallery/product_primary/39937/asics-magic-speed-3-21166029-720.jpg,91 Superb!,$160,Tempo,Neutral,7.4 oz / 211g 7.8 oz / 220g,✓,9.8 mm 7.0 mm,HeelMid/forefoot,18.3 HA,Small,Bad,Decent,Good,Moderate,36.3 mm,26.5 mm,9.8 mm,18.2N,31.4N,ASICS,91,160.0,9.8,,,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam X Hierro v7,https://runrepeat.com/new-balance-fresh-foam-hierro-v-7,https://cdn.runrepeat.com/storage/gallery/product_primary/38801/new-balance-fresh-foam-x-hierro-v-7-21236814-720.jpg,86 Good!,$140,,Neutral,10.5 oz / 297g 10.5 oz / 297g,,9.9 mm 8.0 mm,HeelMid/forefoot,9.4 HA,Big,-,-,-,Moderate,32.4 mm,22.5 mm,9.9 mm,,16.6N,New Balance,86,140.0,9.9,10.5 oz (297g),297.0,LightModerate,32.4 mm 29.0 mm,,,,,,,,,,,,,,,,
