name,url,image,audience score,price,pace,arch support,weight lab weight brand,lightweight,drop lab drop brand,strike pattern,midsole softness,difference in midsole softness in cold,toebox durability,heel padding durability,outsole durability,breathability,heel stack,forefoot stack,drop,flexibility / stiffness (new method),flexibility / stiffness (old method),brand,audience_score,price_usd,drop_mm,weight,weight_grams,trail terrain,heel stack lab heel stack brand,midsole width - forefoot,midsole width - heel,outsole thickness,weight (g),drop (mm),flexibility of the shoe (n),flexibility of the shoe (freezer 20 min) (n),flexibility of the shoe (% of change),"longitudinal flexibility (1-5 scale, 5 being the stiffest)","torsional flexibility (1-5 scale, 5 being the stiffest)",flexibility of the shoe (freezer 1 hour) (n),"longitudinal flexibility (on a 0-5 scale, 0 being the stiffest)","torsional flexibility (on a 0-5 scale, 0 being the stiffest)",agility and responsiveness,outsole hardness,fuelcell supercomp pacer v2
ASICS Novablast 5,https://runrepeat.com/asics-novablast-5,https://cdn.runrepeat.com/storage/gallery/product_primary/40608/asics-novablast-5-22312736-720.jpg,92 Superb!,$140,Daily runningTempo,Neutral,9 oz / 254g 9 oz / 255g,✗,7.4 mm 8.0 mm,HeelMid/forefoot,13.0 HA,Big,Bad,Decent,Good,Moderate,40.9 mm,33.5 mm,7.4 mm,11.2N,19.1N,ASICS,92,140.0,7.4,,,,,,,,,,,,,,,,,,,,
Nike Vomero Plus,https://runrepeat.com/nike-vomero-plus,https://cdn.runrepeat.com/storage/gallery/product_primary/40912/nike-vomero-plus-23479827-720.jpg,91 Superb!,$180,Daily running,Neutral,10.2 oz / 289g 10.1 oz / 285g,,9.6 mm 10.0 mm,HeelMid/forefoot,15.1 HA,Small,Decent,Good,Good,3,42.3 mm,32.7 mm,9.6 mm,19.8N,,Nike,91,180.0,9.6,10.2 oz (289g),289.0,,,,,,,,,,,,,,,,,,
Hoka Bondi 9,https://runrepeat.com/hoka-bondi-9,https://cdn.runrepeat.com/storage/gallery/product_primary/40639/hoka-bondi-9-22560581-720.jpg,90 Great!,$170,Daily running,Neutral,10.7 oz / 303g 10.5 oz / 297g,,9.1 mm 5.0 mm,HeelMid/forefoot,25.1 HA,Small,Good,Good,Good,Moderate,41.3 mm,32.2 mm,9.1 mm,16.5N,30.6N,HOKA,90,170.0,9.1,10.7 oz (303g),303.0,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam X More v5,https://runrepeat.com/new-balance-fresh-foam-x-more-v5,https://cdn.runrepeat.com/storage/gallery/product_primary/40481/new-balance-fresh-foam-x-more-v-5-21889889-720.jpg,87 Great!,$155,Daily running,Neutral,10.9 oz / 308g 10.7 oz / 303g,,7.8 mm 4.0 mm,Mid/forefoot,8.6 HA,Normal,Decent,Decent,Good,Breathable,42.1 mm,34.3 mm,7.8 mm,18.1N,30.6N,New Balance,87,155.0,7.8,10.9 oz (308g),308.0,,,,,,,,,,,,,,,,,,
Nike Vomero 18,https://runrepeat.com/nike-vomero-18,https://cdn.runrepeat.com/storage/gallery/product_primary/40615/nike-vomero-18-23005571-720.jpg,91 Superb!,$150,Daily running,Neutral,10.5 oz / 298g 11.5 oz / 325g,,13.9 mm 10.0 mm,Heel,15.0 HA,Small,Decent,Good,Decent,3,42.5 mm,28.6 mm,13.9 mm,16.0N,,Nike,91,150.0,13.9,10.5 oz (298g),298.0,,,,,,,,,,,,,,,,,,
Hoka Clifton 10,https://runrepeat.com/hoka-clifton-10,https://cdn.runrepeat.com/storage/gallery/product_primary/40691/hoka-clifton-10-22918659-720.jpg,89 Great!,$150,Daily running,Neutral,9.7 oz / 275g 9.8 oz / 277g,,12.4 mm 8.0 mm,Heel,17.1 HA,Small,Good,Good,Decent,3,44.4 mm,32.0 mm,12.4 mm,14.7N,,HOKA,89,150.0,12.4,9.7 oz (275g),275.0,,,,,,,,,,,,,,,,,,
Hoka Clifton 9,https://runrepeat.com/hoka-clifton-9,https://cdn.runrepeat.com/storage/gallery/product_primary/39553/hoka-clifton-9-21236508-720.jpg,86 Good!,$145,Daily running,Neutral,8.8 oz / 249g 8.8 oz / 249g,✓,6.1 mm 5.0 mm,Mid/forefoot,20.4 HA,Small,-,-,-,Moderate,32.7 mm,26.6 mm,6.1 mm,17.7N,26.9N,HOKA,86,145.0,6.1,,,,,,,,,,,,,,,,,,,,
Brooks Ghost Max,https://runrepeat.com/brooks-ghost-max,https://cdn.runrepeat.com/storage/gallery/product_primary/40164/brooks-ghost-max-21133971-720.jpg,91 Superb!,$150,Daily running,Neutral,10.3 oz / 291g 10.1 oz / 286g,,9.5 mm 6.0 mm,HeelMid/forefoot,13.0 HA,Big,Bad,Good,Good,Moderate,39.8 mm,30.3 mm,9.5 mm,21.3N,32.5N,Brooks,91,150.0,9.5,10.3 oz (291g),291.0,,,,,,,,,,,,,,,,,,
Nike Pegasus 41,https://runrepeat.com/nike-pegasus-41,https://cdn.runrepeat.com/storage/gallery/product_primary/40390/nike-pegasus-41-21635997-720.jpg,88 Great!,$140,Daily running,Neutral,9.9 oz / 281g 10 oz / 283g,✗,11.4 mm 10.0 mm,Heel,15.8 HA,Normal,Decent,Good,Good,Moderate,33.6 mm,22.2 mm,11.4 mm,9.4N,19.2N,Nike,88,140.0,11.4,,,,,,,,,,,,,,,,,,,,
Adidas Adizero EVO SL,https://runrepeat.com/adidas-adizero-evo-sl,https://cdn.runrepeat.com/storage/gallery/product_primary/40586/adidas-adizero-evo-sl-22256345-720.jpg,93 Superb!,$150,Daily runningTempo,Neutral,7.9 oz / 223g 7.9 oz / 224g,✓,8.0 mm 6.5 mm,HeelMid/forefoot,21.3 HA,Small,Bad,Good,Good,Breathable,36.1 mm,28.1 mm,8.0 mm,9.8N,19.2N,Adidas,93,150.0,8.0,,,,,,,,,,,,,,,,,,,,
Brooks Glycerin Max,https://runrepeat.com/brooks-glycerin-max,https://cdn.runrepeat.com/storage/gallery/product_primary/40528/brooks-glycerin-max-22207984-720.jpg,89 Great!,$200,Daily running,Neutral,10.8 oz / 305g 10.9 oz / 309g,,6.6 mm 6.0 mm,HeelMid/forefoot,19.9 HA,Small,Decent,Good,Decent,Breathable,42.3 mm,35.7 mm,6.6 mm,18.3N,32.9N,Brooks,89,200.0,6.6,10.8 oz (305g),305.0,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam X 1080 v14,https://runrepeat.com/new-balance-fresh-foam-x-1080-v14,https://cdn.runrepeat.com/storage/gallery/product_primary/40532/new-balance-fresh-foam-x-1080-v-14-22470928-720.jpg,86 Good!,$165,Daily running,Neutral,10.1 oz / 285g 10.5 oz / 298g,✗,4.2 mm 6.0 mm,HeelMid/forefoot,11.9 HA,Normal,Good,Decent,Good,Moderate,37.0 mm,32.8 mm,4.2 mm,15.8N,26.4N,New Balance,86,165.0,4.2,,,,,,,,,,,,,,,,,,,,
Brooks Adrenaline GTS 23,https://runrepeat.com/brooks-adrenaline-gts-23,https://cdn.runrepeat.com/storage/gallery/product_primary/39680/brooks-adrenaline-gts-23-21189509-720.jpg,89 Great!,$140,Daily running,Stability,10.1 oz / 286g 10.4 oz / 294g,,12.6 mm 12.0 mm,Heel,19.5 HA,Big,Bad,Good,Good,Breathable,34.1 mm,21.5 mm,12.6 mm,10.4N,17.7N,Brooks,89,140.0,12.6,10.1 oz (286g),286.0,,,,,,,,,,,,,,,,,,
ASICS Superblast 2,https://runrepeat.com/asics-superblast-2,https://cdn.runrepeat.com/storage/gallery/product_primary/40450/asics-superblast-2-21749161-720.jpg,90 Great!,$200,Daily runningTempo,Neutral,8.9 oz / 252g 8.8 oz / 250g,,8.2 mm 8.0 mm,HeelMid/forefoot,18.3 HA,Small,Good,Good,Good,Breathable,42.8 mm,34.6 mm,8.2 mm,18.4N,26.1N,ASICS,90,200.0,8.2,8.9 oz (252g),252.0,,,,,,,,,,,,,,,,,,
Hoka Bondi 8,https://runrepeat.com/hoka-bondi-8,https://cdn.runrepeat.com/storage/gallery/product_primary/38861/hoka-bondi-8-21232045-720.jpg,84 Good!,$165,Daily running,Neutral,11 oz / 311g 11 oz / 311g,,6.2 mm 4.0 mm,Mid/forefoot,18.0 HA,Big,-,-,-,Moderate,36.2 mm,30.0 mm,6.2 mm,17.7N,49.3N,HOKA,84,165.0,6.2,11.0 oz (311g),311.0,,,,,,,,,,,,,,,,,,
Nike Zoom Fly 6,https://runrepeat.com/nike-zoom-fly-6,https://cdn.runrepeat.com/storage/gallery/product_primary/40613/nike-zoom-fly-6-22464236-720.jpg,92 Superb!,$170,CompetitionTempo,Neutral,8.7 oz / 248g 8.6 oz / 244g,✓,9.6 mm 8.0 mm,HeelMid/forefoot,16.1 HA,Small,Good,Good,Good,Moderate,39.7 mm,30.1 mm,9.6 mm,21.5N,35.5N,Nike,92,170.0,9.6,,,,,,,,,,,,,,,,,,,,
New Balance FuelCell SuperComp Elite v4,https://runrepeat.com/new-balance-fuel-cell-super-comp-elite-v-4,https://cdn.runrepeat.com/storage/gallery/product_primary/40283/new-balance-fuel-cell-super-comp-elite-v-4-21356876-720.jpg,88 Great!,$250,Competition,Neutral,8.2 oz / 232g 8.1 oz / 230g,✓,9.3 mm 4.0 mm,HeelMid/forefoot,15.0 HA,Small,Decent,Decent,Good,Moderate,38.2 mm,28.9 mm,9.3 mm,18.4N,38.4N,New Balance,88,250.0,9.3,,,,,,,,,,,,,,,,,,,,
On Cloudmonster,https://runrepeat.com/on-cloudmonster,https://cdn.runrepeat.com/storage/gallery/product_primary/38404/on-cloudmonster-21237207-720.jpg,91 Superb!,$170,Daily running,Neutral,9.9 oz / 280g 9.7 oz / 274g,,6.8 mm 6.0 mm,Mid/forefoot,25.8 HA,Normal,-,-,-,Breathable,34.9 mm,28.1 mm,6.8 mm,17.0N,34.4N,On,91,170.0,6.8,9.9 oz (280g),280.0,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam X More v4,https://runrepeat.com/new-balance-fresh-foam-more-v-4,https://cdn.runrepeat.com/storage/gallery/product_primary/39132/new-balance-fresh-foam-x-more-v-4-21236842-720.jpg,87 Great!,$150,Daily running,Neutral,10.6 oz / 301g 10.6 oz / 301g,,4.6 mm 4.0 mm,Mid/forefoot,15.5 HA,Small,Bad,-,-,Warm,32.5 mm,27.9 mm,4.6 mm,12.7N,17.7N,New Balance,87,150.0,4.6,10.6 oz (301g),301.0,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam X More v6,https://runrepeat.com/new-balance-fresh-foam-x-more-v-6,https://cdn.runrepeat.com/storage/gallery/product_primary/40943/new-balance-fresh-foam-x-more-v-6-23502483-720.jpg,88 Great!,$155,Daily running,Neutral,10.7 oz / 302g 10.8 oz / 306g,,3.3 mm 4.0 mm,Mid/forefoot,9.5 HA,Big,Decent,Good,Good,2,41.8 mm,38.5 mm,3.3 mm,17.7N,,New Balance,88,155.0,3.3,10.7 oz (302g),302.0,,,,,,,,,,,,,,,,,,
ASICS Novablast 4,https://runrepeat.com/asics-novablast-4,https://cdn.runrepeat.com/storage/gallery/product_primary/40234/asics-novablast-4-2-21237238-720.jpg,92 Superb!,$140,Daily running,Neutral,9.1 oz / 259g 9 oz / 255g,✗,9.0 mm 8.0 mm,HeelMid/forefoot,16.9 HA,Normal,Decent,Good,Good,Moderate,39.2 mm,30.2 mm,9.0 mm,17.8N,25.6N,ASICS,92,140.0,9.0,,,,,,,,,,,,,,,,,,,,
Hoka Mach 6,https://runrepeat.com/hoka-mach-6,https://cdn.runrepeat.com/storage/gallery/product_primary/40333/hoka-mach-6-21454844-720.jpg,87 Great!,$140,Daily running,Neutral,8.2 oz / 232g 8.3 oz / 235g,✓,9.6 mm 5.0 mm,HeelMid/forefoot,20.4 HA,Big,Decent,Bad,Good,Breathable,36.0 mm,26.4 mm,9.6 mm,13.7N,18.7N,HOKA,87,140.0,9.6,,,,,,,,,,,,,,,,,,,,
Altra Lone Peak 9,https://runrepeat.com/altra-lone-peak-9,https://cdn.runrepeat.com/storage/gallery/product_primary/40628/altra-lone-peak-9-22723089-720.jpg,91 Superb!,$140,,Neutral,10.9 oz / 309g 10.4 oz / 295g,,0.0 mm 0.0 mm,Mid/forefoot,23.6 HA,Normal,Decent,Decent,Good,Warm,23.3 mm,23.3 mm,0.0 mm,12.0N,28.3N,Altra,91,140.0,0.0,,,LightModerate,23.3 mm 25.0 mm,,,,,,,,,,,,,,,,
New Balance Fresh Foam X 1080 v13,https://runrepeat.com/new-balance-fresh-foam-x-1080-v-13,https://cdn.runrepeat.com/storage/gallery/product_primary/39692/new-balance-fresh-foam-x-1080-v-13-21208170-720.jpg,89 Great!,$165,Daily running,Neutral,9.3 oz / 264g 9.2 oz / 261g,✗,5.6 mm 6.0 mm,Mid/forefoot,10.0 HA,Normal,Decent,Good,Good,Breathable,34.1 mm,28.5 mm,5.6 mm,13.1N,20.5N,New Balance,89,165.0,5.6,,,,,,,,,,,,,,,,,,,,
ASICS Gel Nimbus 26,https://runrepeat.com/asics-gel-nimbus-26,https://cdn.runrepeat.com/storage/gallery/product_primary/40253/asics-gel-nimbus-26-2-21258429-720.jpg,89 Great!,$160,Daily running,Neutral,10.7 oz / 303g 10.7 oz / 304g,,8.4 mm 8.0 mm,HeelMid/forefoot,18.5 HA,Normal,Good,Good,Good,Moderate,40.4 mm,32.0 mm,8.4 mm,14.8N,30.2N,ASICS,89,160.0,8.4,10.7 oz (303g),303.0,,,,,,,,,,,,,,,,,,
ASICS Gel Kayano 31,https://runrepeat.com/asics-gel-kayano-31,https://cdn.runrepeat.com/storage/gallery/product_primary/40393/asics-gel-kayano-31-21691218-720.jpg,89 Great!,$165,Daily running,Stability,10.4 oz / 295g 11 oz / 311g,✗,11.5 mm 10.0 mm,Heel,15.6 HA,Normal,Good,Good,Decent,Moderate,39.3 mm,27.8 mm,11.5 mm,15.8N,24.9N,ASICS,89,165.0,11.5,,,,,,,,,,,,,,,,,,,,
Brooks Ghost Max 2,https://runrepeat.com/brooks-ghost-max-2,https://cdn.runrepeat.com/storage/gallery/product_primary/40429/brooks-ghost-max-2-22166858-720.jpg,85 Good!,$150,Daily running,Neutral,10.8 oz / 305g 10.9 oz / 309g,✗,9.9 mm 6.0 mm,HeelMid/forefoot,20.6 HA,Normal,Decent,Good,Good,Breathable,39.0 mm,29.1 mm,9.9 mm,20.0N,33.6N,Brooks,85,150.0,9.9,,,,,,,,,,,,,,,,,,,,
Brooks Adrenaline GTS 24,https://runrepeat.com/brooks-adrenaline-gts-24,https://cdn.runrepeat.com/storage/gallery/product_primary/40538/brooks-adrenaline-gts-24-2-22723083-720.jpg,85 Good!,$140,Daily running,Stability,10.3 oz / 291g 10 oz / 283g,✗,13.5 mm 12.0 mm,Heel,25.1 HA,Small,Decent,Good,Good,Moderate,39.0 mm,25.5 mm,13.5 mm,10.1N,22.5N,Brooks,85,140.0,13.5,,,,,,,,,,,,,,,,,,,,
New Balance FuelCell Rebel v5,https://runrepeat.com/new-balance-fuel-cell-rebel-v-5,https://cdn.runrepeat.com/storage/gallery/product_primary/40829/new-balance-fuel-cell-rebel-v-5-23235196-720.jpg,91 Superb!,$140,Daily runningTempo,Neutral,7.8 oz / 220g 7.9 oz / 225g,✓,6.3 mm 6.0 mm,Mid/forefoot,11.5 HA,Small,Bad,Good,Good,Moderate,33.0 mm,26.7 mm,6.3 mm,11.7N,,New Balance,91,140.0,6.3,7.8 oz (220g),220.0,,,,,,,,,,,,,,,,,,
Nike Alphafly 3,https://runrepeat.com/nike-alphafly-3,https://cdn.runrepeat.com/storage/gallery/product_primary/40255/nike-alphafly-3-2-21208136-720.jpg,88 Great!,$285,Competition,Neutral,7.1 oz / 201g 7 oz / 198g,✓,8.5 mm 8.0 mm,HeelMid/forefoot,18.1 HA,Small,Bad,Good,Bad,Breathable,38.1 mm,29.6 mm,8.5 mm,28.4N,71.7N,Nike,88,285.0,8.5,,,,,,,,,,,,,,,,,,,,
Brooks Glycerin 22,https://runrepeat.com/brooks-glycerin-22,https://cdn.runrepeat.com/storage/gallery/product_primary/40658/brooks-glycerin-22-22723203-720.jpg,86 Good!,$165,Daily running,Neutral,10.3 oz / 293g 10.2 oz / 289g,,10.3 mm 10.0 mm,Heel,17.3 HA,Normal,Decent,Good,Good,Breathable,38.5 mm,28.2 mm,10.3 mm,15.0N,26.5N,Brooks,86,165.0,10.3,10.3 oz (293g),293.0,,,,,,,,,,,,,,,,,,
ASICS Gel Nimbus 27,https://runrepeat.com/asics-gel-nimbus-27,https://cdn.runrepeat.com/storage/gallery/product_primary/40620/asics-gel-nimbus-27-22584818-720.jpg,87 Great!,$165,Daily running,Neutral,10.5 oz / 299g 10.8 oz / 305g,,8.3 mm 8.0 mm,HeelMid/forefoot,21.0 HA,Small,Decent,Good,Good,Moderate,42.7 mm,34.4 mm,8.3 mm,20.2N,34.6N,ASICS,87,165.0,8.3,10.5 oz (299g),299.0,,,,,,,,,,,,,,,,,,
Adidas Adizero Adios Pro 4,https://runrepeat.com/adidas-adizero-adios-pro-4,https://cdn.runrepeat.com/storage/gallery/product_primary/40584/adidas-adizero-adios-pro-4-22483965-720.jpg,93 Superb!,$250,Competition,Neutral,7.1 oz / 200g 7.1 oz / 201g,✓,8.1 mm 6.0 mm,Mid/forefoot,11.0 HA,Small,Bad,Good,Good,Warm,36.6 mm,28.5 mm,8.1 mm,22.7N,31.9N,Adidas,93,250.0,8.1,,,,,,,,,,,,,,,,,,,,
New Balance FuelCell SuperComp Elite v5,https://runrepeat.com/new-balance-fuel-cell-super-comp-elite-v-5,https://cdn.runrepeat.com/storage/gallery/product_primary/40806/new-balance-fuel-cell-super-comp-elite-v-5-23658945-720.jpg,92 Superb!,$250,Competition,Neutral,7 oz / 198g 7.5 oz / 213g,✓,10.7 mm 8.0 mm,Heel,15.2 HA,Small,Bad,Decent,Decent,Moderate,39.3 mm,28.6 mm,10.7 mm,16.2N,,New Balance,92,250.0,10.7,7.0 oz (198g),198.0,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam 860 v11,https://runrepeat.com/new-balance-fresh-foam-860-v11,https://cdn.runrepeat.com/storage/gallery/product_primary/36313/nb-ff-860v11-hero-16203638-720.jpg,91 Superb!,$130,Daily running,Stability,10.6 oz / 300g 9.7 oz / 275g,,12.4 mm 10.0 mm,Heel,-,-,-,-,-,-,34.2 mm,21.8 mm,12.4 mm,,27.8N,New Balance,91,130.0,12.4,10.6 oz (300g),300.0,,,112.3 mm,86.5 mm,,,,,,,,,,,,,,
Altra Lone Peak 5.0,https://runrepeat.com/altra-lone-peak-5-0,https://cdn.runrepeat.com/storage/gallery/product_primary/36794/altra-lone-peak-50-hero-2-15915101-720.jpg,91 Superb!,$130,,Neutral,10.7 oz / 302g 10.6 oz / 301g,,0.2 mm 0.0 mm,Mid/forefoot,-,-,-,-,-,-,24.5 mm,24.3 mm,0.2 mm,,25.5N,Altra,91,130.0,0.2,10.7 oz (302g),302.0,LightModerate,24.5 mm 25.0 mm,109.7 mm,,,,,,,,,,,,,,,
Nike Pegasus Trail 5,https://runrepeat.com/nike-pegasus-trail-5,https://cdn.runrepeat.com/storage/gallery/product_primary/40380/nike-pegasus-trail-5-21664132-720.jpg,90 Great!,$150,,Neutral,10.1 oz / 286g 10.1 oz / 286g,,9.6 mm 9.5 mm,HeelMid/forefoot,11.1 HA,Normal,Very good,Good,Good,Warm,34.6 mm,25.0 mm,9.6 mm,13.3N,19.3N,Nike,90,150.0,9.6,,,Light,34.6 mm 37.0 mm,,,,,,,,,,,,,,,,
New Balance Fresh Foam X More Trail v3,https://runrepeat.com/new-balance-fresh-foam-x-more-trail-v3,https://cdn.runrepeat.com/storage/gallery/product_primary/39843/new-balance-fresh-foam-x-more-trail-v-3-21208168-720.jpg,87 Great!,$160,,Neutral,10.6 oz / 301g 10.6 oz / 301g,,7.1 mm 4.0 mm,Mid/forefoot,14.9 HA,Normal,Very bad,Decent,-,Moderate,38.6 mm,31.5 mm,7.1 mm,14.4N,27.3N,New Balance,87,160.0,7.1,,,ModerateTechnical,38.6 mm 39.4 mm,,,,,,,,,,,,,,,,
Nike React Infinity Run Flyknit 3,https://runrepeat.com/nike-react-infinity-run-flyknit-3,https://cdn.runrepeat.com/storage/gallery/product_primary/37916/nike-react-infinity-run-flyknit-3-21237189-720.jpg,87 Great!,$160,Daily running,Neutral,10.5 oz / 297g 10.9 oz / 310g,✗,6.7 mm 8.0 mm,Mid/forefoot,15.0 HA,Big,-,-,-,Moderate,30.0 mm,23.3 mm,6.7 mm,18.8N,24.9N,Nike,87,160.0,6.7,,,,,,,,,,,,,,,,,,,,
Skechers Aero Burst,https://runrepeat.com/skechers-aero-burst,https://cdn.runrepeat.com/storage/gallery/product_primary/40845/skechers-aero-burst-23547943-720.jpg,92 Superb!,$150,Daily running,Neutral,11.4 oz / 322g,,8.8 mm 6.0 mm,HeelMid/forefoot,14.4 HA,Normal,Decent,Good,Good,3,41.7 mm,32.9 mm,8.8 mm,15.3N,,Skechers,92,150.0,8.8,11.4 oz (322g),322.0,,,,,,,,,,,,,,,,,,
Nike Pegasus Plus,https://runrepeat.com/nike-pegasus-plus,https://cdn.runrepeat.com/storage/gallery/product_primary/40527/nike-pegasus-plus-22083897-720.jpg,90 Great!,$180,Daily runningTempo,Neutral,8.6 oz / 244g 8.6 oz / 244g,✓,9.4 mm 10.0 mm,HeelMid/forefoot,12.3 HA,Normal,Decent,Good,Decent,Moderate,33.0 mm,23.6 mm,9.4 mm,10.5N,15.6N,Nike,90,180.0,9.4,,,,,,,,,,,,,,,,,,,,
On Cloudmonster 2,https://runrepeat.com/on-cloudmonster-2,https://cdn.runrepeat.com/storage/gallery/product_primary/40327/on-cloudmonster-2-21369854-720.jpg,89 Great!,$180,Daily running,Neutral,10.3 oz / 292g 10.4 oz / 295g,,6.6 mm 6.0 mm,Mid/forefoot,26.5 HA,Small,Good,Decent,Good,Warm,37.9 mm,31.3 mm,6.6 mm,17.9N,31.2N,On,89,180.0,6.6,10.3 oz (292g),292.0,,,,,,,,,,,,,,,,,,
Brooks Ghost 15,https://runrepeat.com/brooks-ghost-15,https://cdn.runrepeat.com/storage/gallery/product_primary/39319/brooks-ghost-15-21189517-720.jpg,88 Great!,$140,Daily running,Neutral,9.8 oz / 279g 10.1 oz / 286g,✗,13.2 mm 12.0 mm,Heel,15.9 HA,Big,Bad,Decent,Good,Moderate,36.3 mm,23.1 mm,13.2 mm,9.5N,18.2N,Brooks,88,140.0,13.2,,,,,,,,,,,,,,,,,,,,
ASICS Superblast,https://runrepeat.com/asics-superblast,https://cdn.runrepeat.com/storage/gallery/product_primary/39357/asics-superblast-21166034-720.jpg,92 Superb!,$200,Daily runningTempo,Neutral,8.6 oz / 244g 8.4 oz / 239g,✓,7.9 mm 8.0 mm,Mid/forefoot,23.4 HA,Small,Bad,Decent,Good,Moderate,42.7 mm,34.8 mm,7.9 mm,19.6N,29.4N,ASICS,92,200.0,7.9,,,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam X Vongo v6,https://runrepeat.com/new-balance-fresh-foam-x-vongo-v-6,https://cdn.runrepeat.com/storage/gallery/product_primary/39468/new-balance-fresh-foam-x-vongo-v-6-21573287-720.jpg,88 Great!,$150,Daily running,Stability,11 oz / 312g 10.9 oz / 309g,✗,5.6 mm 6.0 mm,Mid/forefoot,18.9 HA,Normal,Decent,Good,Good,Warm,36.1 mm,30.5 mm,5.6 mm,15.3N,22.8N,New Balance,88,150.0,5.6,,,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam 680 v8,https://runrepeat.com/new-balance-fresh-foam-680-v8,https://cdn.runrepeat.com/storage/gallery/product_primary/40388/new-balance-fresh-foam-680-v-8-21845705-720.jpg,84 Good!,$80,Daily running,Neutral,9.2 oz / 261g 9.5 oz / 268g,✗,7.8 mm,Mid/forefoot,16.3 HA,Normal,Good,Good,Good,Breathable,35.4 mm,27.6 mm,7.8 mm,9.0N,16.6N,New Balance,84,80.0,7.8,,,,,,,,,,,,,,,,,,,,
Mizuno Neo Zen,https://runrepeat.com/mizuno-neo-zen,https://cdn.runrepeat.com/storage/gallery/product_primary/40640/mizuno-neo-zen-22947041-720.jpg,93 Superb!,$150,Daily runningTempo,Neutral,8.3 oz / 234g 8.5 oz / 240g,✓,7.0 mm 6.0 mm,Mid/forefoot,13.5 HA,Normal,Good,Good,Good,Moderate,41.0 mm,34.0 mm,7.0 mm,12.8N,,Mizuno,93,150.0,7.0,8.3 oz (234g),234.0,,,,,,,,,,,,,,,,,,
ASICS Metaspeed Sky,https://runrepeat.com/asics-meta-speed-sky,https://cdn.runrepeat.com/storage/gallery/product_primary/37140/asics-metaspeed-sky-hero-2-15915098-720.jpg,92 Superb!,$250,Competition,Neutral,6.7 oz / 191g 7 oz / 198g,✓,2.5 mm 5.0 mm,Mid/forefoot,-,-,-,-,-,5,33.7 mm,31.2 mm,2.5 mm,,,ASICS,92,250.0,2.5,6.7 oz (191g),191.0,,,112.6 mm,,,,,,,,,,,,,,,
Nike Vaporfly 4,https://runrepeat.com/nike-vaporfly-4,https://cdn.runrepeat.com/storage/gallery/product_primary/40754/nike-vaporfly-4-22860848-720.jpg,90 Great!,$260,Competition,Neutral,5.9 oz / 166g 6.5 oz / 184g,✓,8.6 mm 6.0 mm,HeelMid/forefoot,19.9 HA,Small,Good,Decent,Bad,Moderate,34.1 mm,25.5 mm,8.6 mm,18.0N,,Nike,90,260.0,8.6,5.9 oz (166g),166.0,,,,,,,,,,,,,,,,,,
Brooks Glycerin 21,https://runrepeat.com/brooks-glycerin-21,https://cdn.runrepeat.com/storage/gallery/product_primary/40266/brooks-glycerin-21-21493721-720.jpg,86 Good!,$160,Daily running,Neutral,9.8 oz / 278g 9.8 oz / 277g,,10.6 mm 10.0 mm,Heel,20.4 HA,Normal,Decent,Good,Good,Moderate,37.2 mm,26.6 mm,10.6 mm,12.3N,21.7N,Brooks,86,160.0,10.6,9.8 oz (278g),278.0,,,,,,,,,,,,,,,,,,
Nike Pegasus Premium,https://runrepeat.com/nike-pegasus-premium,https://cdn.runrepeat.com/storage/gallery/product_primary/40633/nike-pegasus-premium-23005570-720.jpg,83 Good!,$210,Daily runningTempo,Neutral,10.9 oz / 308g 10.9 oz / 309g,,11.8 mm 10.0 mm,Heel,18.5 HA,Small,Bad,Good,Decent,5,42.8 mm,31.0 mm,11.8 mm,21.2N,,Nike,83,210.0,11.8,10.9 oz (308g),308.0,,,,,,,,,,,,,,,,,,
ASICS Gel Nimbus 25,https://runrepeat.com/asics-gel-nimbus-25,https://cdn.runrepeat.com/storage/gallery/product_primary/39530/asics-gel-nimbus-25-21232027-720.jpg,89 Great!,$160,Daily running,Neutral,10.2 oz / 289g 10.5 oz / 299g,,7.8 mm 8.0 mm,Mid/forefoot,18.6 HA,Normal,-,-,-,Moderate,38.0 mm,30.2 mm,7.8 mm,13.2N,35.9N,ASICS,89,160.0,7.8,10.2 oz (289g),289.0,,,,,,,,,,,,,,,,,,
Brooks Adrenaline GTS 22,https://runrepeat.com/brooks-adrenaline-gts-22,https://cdn.runrepeat.com/storage/gallery/product_primary/37951/brooks-adrenaline-gts-22-27-16338200-720.jpg,89 Great!,$140,Daily running,Stability,10.4 oz / 294g 10.2 oz / 289g,✗,14.7 mm 12.0 mm,Heel,-,-,-,-,-,-,37.4 mm,22.7 mm,14.7 mm,,40.8N,Brooks,89,140.0,14.7,10.4 oz (294g),294.0,,,116.3 mm,,,,,,,,,,,,,,,
